rcid,mean_beta,q025,q975
4814,0.5528928072922208,0.3913763961825548,0.7261903472273636
4815,-1.0629435971581924,-1.4888833083896449,-0.7062154733960384
4818,0.14380857842463818,0.0561993429170687,0.23921645804084765
4820,0.3898978520675858,0.269329736156254,0.5337204828874111
4822,-1.231713635375274,-2.4212715683042103,-0.4646401366233607
4827,-2.1089957296711392,-3.0879036273533353,-1.2322209441191303
4833,-1.124541721772353,-1.8064135391550329,-0.6409370172678545
4839,-1.2308103667530725,-1.6780029317649385,-0.8161039412692447
4840,-1.2530891614281676,-1.7253666611087708,-0.862783823731767
4878,-0.9018009008610329,-1.1518782929856073,-0.6012598302421415
4882,0.375484870704095,0.25677120106446416,0.5178617067979725
4889,0.5477007959720445,0.3685894261598896,0.7187604953675694
4890,0.23292267945669629,0.1423317857652366,0.34085814723044117
4895,-1.050023700173198,-1.3788029274379614,-0.6811340210741434
4897,-0.8107937344633257,-1.0617796192862614,-0.5504390908328387
4900,-0.8730358818348772,-1.216376962659224,-0.6200887219036
4902,0.3964938765902902,0.27277226283033534,0.5447697271256694
4903,-1.5729302666285618,-2.275214524025009,-1.0402940592493186
4979,-1.0299963085863348,-1.664569509144725,-0.631211690925686
4981,-1.2225869298528522,-1.6895457166145897,-0.8308216038985774
4982,-1.2152374102613235,-1.6463573737811452,-0.8117130158464714
4995,0.011728715607711796,-0.07124656057527795,0.09648729553338316
5006,-0.06381414744719136,-0.17630215345940348,0.047948465587545196
5011,-0.8755655719169109,-1.1733594175601072,-0.5447826245655646
5029,0.34933519621262016,0.2350785890576405,0.4529945818620098
5030,0.5496464103785766,0.39094953316104913,0.7430711772992736
5031,-1.7606430448009158,-2.3023400480691727,-1.1607543194810392
5035,-0.8408825272619908,-1.1059978878637748,-0.5617909780806263
5041,0.16027645494213896,0.07601917365655325,0.2502232217387973
5043,0.33792732098586165,0.21520586490442276,0.4561928604842804
5049,-0.9064319194045062,-1.4445136085601906,-0.5062870013974878
5052,-1.3632304702868219,-2.001228327510013,-0.9173973893859384
5053,-1.2629595583191977,-1.7377690933387815,-0.8159660160133654
5066,0.10874125283337259,0.028594241998911852,0.20104915720310512
5070,-0.051632524909454004,-0.18203540708662458,0.05180552088614046
5079,0.03473017735779678,-0.05144960329484619,0.11589699409839038
5082,-0.8718433406009852,-1.1820451808743646,-0.5853055095491771
5100,0.211513494110275,0.12055457764890981,0.31847997830969166
5101,0.10091829281051048,0.04402556791646685,0.17763907850554606
5107,-0.7468003988717432,-0.9733394223192036,-0.5063053396935451
5108,0.35070505998921897,0.23883843373189106,0.48720131336518574
5109,-0.8324139989580178,-1.1740783233190337,-0.5453960603900936
5110,0.5021876379757407,0.336609464658312,0.6677380718949842
5117,0.16793695874822145,0.08332785010456942,0.2822488388238975
5118,-0.28530557139124946,-0.40991425824832706,-0.17490906470929152
5119,-1.502043909828092,-2.127770587464025,-0.9538884279431759
5124,-1.3574107788958907,-1.8173109403836845,-0.9166417321913348
5133,0.3281734741668151,0.2103025189567396,0.4525898114982831
5134,0.3957185247161887,0.2695666724682274,0.5365316139139525
5135,0.2410274502242147,0.14502147757268596,0.34350913055899246
5157,0.04356344784800108,-0.04769176062109253,0.14973496063955266
5163,-0.8952164839212823,-1.4758449696837168,-0.46036228772296883
5170,-0.8065555175109759,-1.0589049152928274,-0.5587497031275014
5181,-0.9980635701023353,-1.5751753791611143,-0.5613498947159852
5182,-0.721391588054365,-1.0080081315306628,-0.45550581468960444
5183,-1.414000583711047,-2.0244789625678226,-0.9175007069431724
5184,-1.1526510209209158,-1.6006588027324526,-0.7073465478695504
5217,-0.9353034656901161,-1.2735686154242345,-0.6192894440909611
5240,0.41420411953306435,0.26738946528083446,0.5366051841638797
5241,0.2218420557011924,0.13109141953796327,0.32107603083117003
5243,0.307039142125866,0.1934809601567013,0.43126581039752937
5249,-0.9204994872772194,-1.4433114944883,-0.5134763482031642
5254,-1.2168301281245482,-1.6223965099026914,-0.764424011477787
5255,-1.287012925646733,-1.8050280014864524,-0.8200539432150704
5260,0.13092785301426627,0.048028844200373164,0.22379378519960155
5267,0.10587627258768086,0.020263249763855788,0.20128205113467046
5270,0.04723036558993499,-0.025996441654135397,0.13615894635500045
5284,-0.8611452475784723,-1.1610690100809193,-0.6012547592326848
5291,0.23767561682466343,0.15498594688934342,0.3410966848721331
5302,-0.3983631387714635,-0.5326059496550528,-0.26607229393485127
5303,0.4457814802562969,0.29712044620154227,0.5789816835323681
5305,0.15531227661587904,0.08279208838951908,0.25511142301405404
5313,-0.9562206550667034,-1.5701761459609438,-0.49752299736965194
5315,-1.307459210364371,-1.7537999640406157,-0.8545735024795681
5316,-1.243178360704732,-1.679464213674857,-0.7872340045925634
5332,0.09739726925976795,0.022567596447241062,0.18428958344414179
5336,0.05327344679263239,-0.01137452503548212,0.1298405356736023
5348,-0.0406131672281533,-0.12915160316672894,0.05845743946191229
5355,-0.8516794133547889,-1.1458600399840626,-0.5727678256817903
5375,0.12341075768303765,0.06188084225720632,0.19736040173495606
5377,0.32888581805414946,0.2188698581729356,0.44035592472024
5378,0.2473820679370239,0.1623939861551781,0.3379035496025652
5379,0.4226038490091234,0.26474944370546916,0.5674490853287784
5381,0.2771770793321045,0.15978838892562558,0.3998938871202777
5383,-0.8770901215632487,-1.2234732275729856,-0.5341682362996638
5394,-0.7938722970065837,-1.2923505777629298,-0.33727060464774705
5395,0.0469939493455691,-0.02047561203647815,0.1283141728861769
5396,-1.4096964182021574,-1.8601507496399141,-0.9045832795225622
5397,-1.3650728083411,-1.9250734669119216,-0.824915971613105
5426,0.11471482511446424,0.049406210292255434,0.20672942747616815
5429,-0.03705887905545965,-0.14763376765328917,0.072683085306298
