country,session_idx,year,mean_theta,q025,q975
IRQ,30,2004,0.9371336627332901,0.4890265978591972,2.0018398914964837
IRQ,31,2005,0.9573491448857228,0.4715988516747546,1.9818162668585328
IRQ,32,2006,0.9757106847203778,0.5102120360139261,1.9620598307343315
IRQ,33,2007,0.9833892209497932,0.4662583668484615,2.008529424161562
IRQ,34,2008,0.9925041009995217,0.4673675683974853,2.1064984939528837
IRQ,35,2009,0.9957331962665734,0.5386518383464001,2.0079956338929867
IRQ,36,2010,1.0096579811016226,0.5655515372132215,2.1526629756292515
IRQ,37,2011,1.0093617891311673,0.49755061449466675,2.2790786278327855
IRQ,38,2012,1.014255695188907,0.5408173537553418,2.1002935359707777
IRQ,39,2013,1.0172788215375879,0.4956592230224521,2.0778570666011307
IRQ,40,2014,1.0089263602889227,0.530993612707074,1.959109730415701
IRQ,41,2015,1.0087108163247243,0.4834411469664238,1.9025009789041427
IRQ,42,2016,1.0264169779040628,0.47349402822694026,2.0049541892395335
IRQ,43,2017,1.0432440638191316,0.4972170312325453,2.174985876255774
IRQ,44,2018,1.0332498355391473,0.47810665287318893,2.148196386535107
IRQ,45,2019,1.0048749854517505,0.4986703523126288,1.940646513994246
IRQ,46,2020,0.9924395643369457,0.47608518376511283,1.9346302656029841
IRQ,47,2021,1.0051160449563075,0.4565959375583047,2.032757385749573
IRQ,48,2023,1.000735066355036,0.49249325355044954,2.0564226499467186
IRQ,49,2023,1.0003916974940152,0.46945077856318534,2.219431942682823
IRQ,50,2024,1.0166832860878063,0.43485145730524477,2.335848240192724
IRQ,51,2025,1.0343234076575274,0.3002193946773184,2.3140421085671057
ISL,0,1974,2.8377040647664167,2.0769448040035026,3.5983419646593626
ISL,1,1975,2.9313551044476065,2.2094588679581513,3.950205616807394
ISL,2,1976,3.0050459867904338,2.2955386475299067,4.06570210589526
ISL,3,1977,3.0867757378466494,2.298166924363627,4.403355662823068
ISL,4,1978,3.192051102063627,2.3928625956931695,4.819475757508005
ISL,5,1979,3.261900108140868,2.402953473746699,5.178747082182485
ISL,6,1980,3.3818986393289556,2.4934834318237074,5.733381792081915
ISL,7,1981,3.4798654675325476,2.5164399517290774,5.988215390985229
ISL,8,1982,3.557759071675961,2.552520973169048,5.789145507664375
ISL,9,1983,3.588592263489417,2.52387549088589,6.050417204236819
ISL,10,1984,3.5818242638846765,2.549388444824837,6.065960148677488
ISL,11,1985,3.5895706391578246,2.540315462365531,6.28910132811902
ISL,12,1986,3.5918400096594016,2.5598872968280477,6.445701390768442
ISL,13,1987,3.5768253114622053,2.54189075632066,6.359679385582321
ISL,14,1988,3.523546993795957,2.4041527271244503,6.186946770117735
ISL,15,1989,3.454231817029614,2.346725881018862,6.341000943975833
ISL,16,1990,3.4147967255198948,2.275297756192852,6.220139190056355
ISL,17,1991,3.3669020655492377,2.2404721212252534,6.172135706963336
ISL,18,1992,3.2879559028153906,2.221167577621495,6.269865652487575
ISL,19,1993,3.200820210791097,2.17947965362673,5.979148269938679
ISL,20,1994,3.10018106630411,2.0345504143096016,5.397078570406764
ISL,21,1995,3.0468353934636485,2.0227545686045394,5.659731590060547
ISL,22,1996,2.9916731081893895,1.968013787897333,5.556422501358024
ISL,23,1997,2.911928724263305,1.8655769996413856,5.482361721276892
ISL,24,1998,2.8723779141388417,1.8540893634520783,5.214093274396101
ISL,25,1999,2.830232851567353,1.833321265916804,5.269172173904871
ISL,26,2000,2.7833523558153397,1.8162912441503776,5.287852974600661
ISL,27,2001,2.7764018626259817,1.7396116897014864,5.051153755931441
ISL,28,2002,2.7231289652984505,1.7367194448334817,5.078709103174324
ISL,29,2003,2.66468452936811,1.7037027748380953,5.037586966202347
ISL,30,2004,2.6458149140342964,1.7395312336735822,5.000828455778941
ISL,31,2005,2.598940420344422,1.6412291344780925,4.7614113024145555
ISL,32,2006,2.552596733743576,1.6351677981775061,4.565218026370831
ISL,33,2007,2.543492758022237,1.647700925553372,4.534960184324921
ISL,34,2008,2.5361307594259626,1.5905299864975462,4.6639586887827145
ISL,35,2009,2.4998560299482966,1.5912561713789872,4.936096432452387
ISL,36,2010,2.434962111364332,1.511806578828944,4.599503213232844
ISL,37,2011,2.366841910505443,1.4847419706897422,4.763632945054057
ISL,38,2012,2.2458690976235003,1.3877343624983012,4.476546448303979
ISL,39,2013,2.186431327128391,1.3750793437942617,4.3797686978755666
ISL,40,2014,2.1403025835660388,1.334307609454098,4.166404782380097
ISL,41,2015,2.0972544758656255,1.3261672711593706,3.9569899245196942
ISL,42,2016,2.0609149653804506,1.3061857837533244,4.020565296707756
ISL,43,2017,2.0362795274031127,1.2609207290273368,4.298626017181594
ISL,44,2018,2.0106239427799135,1.2753052273866683,3.766268211092434
ISL,45,2019,2.053900260074604,1.2844669879261024,4.035703101287857
ISL,46,2020,2.1195125714266454,1.3342516427839297,4.331591647547378
ISL,47,2021,2.153660893697385,1.320151047601827,4.3804063268820075
ISL,48,2023,2.188855960702208,1.3306086796672771,4.52589625342375
ISL,49,2023,2.173897443242944,1.2478977616491131,4.519510351041503
ISL,50,2024,2.177519737327506,1.2798802565651024,4.860077778263398
ISL,51,2025,2.1438983825056086,1.1682949506786708,4.455709678165583
ISR,0,1974,3.0757697933624026,2.9004424434071296,3.260617177864829
ISR,1,1975,3.309186760768646,2.9421900097837774,3.8397024669469793
ISR,2,1976,3.538056338113177,3.001116273655727,4.451462142380622
ISR,3,1977,3.76788086440167,3.123822366685669,5.092639230806751
ISR,4,1978,3.9721972260414518,3.2442847394744696,5.659725376047877
ISR,5,1979,4.141293687114399,3.239039579286194,6.397712455243104
ISR,6,1980,4.298184346108349,3.3303730470694397,6.7875431152609895
ISR,7,1981,4.510398107061228,3.442757188848376,7.255496434035631
ISR,8,1982,4.648376569393445,3.459956584548459,7.330023601403791
ISR,9,1983,4.789005568606216,3.553169636355057,7.721108978257687
ISR,10,1984,4.9067683189240725,3.566890845853113,8.332628283895456
ISR,11,1985,5.042898445471621,3.5544153823842026,8.595249907512018
ISR,12,1986,5.173519957803616,3.5155701107893944,8.790607720371955
ISR,13,1987,5.309272106249073,3.5153942388340953,9.634081599875191
ISR,14,1988,5.394778206890903,3.4164987893572283,10.341777634209288
ISR,15,1989,5.501117899179618,3.5813977818290734,10.751925822768687
ISR,16,1990,5.610041008064801,3.732349137208973,11.375653121390148
ISR,17,1991,5.685263535795146,3.6955899319547516,11.442634283598753
ISR,18,1992,5.761878229060129,3.5882042811968446,11.930235996703352
ISR,19,1993,5.816328247241889,3.5423962851575563,11.754426727013323
ISR,20,1994,5.876745712665962,3.537044267402295,11.978143961814313
ISR,21,1995,5.919258482563614,3.5948219513988793,11.826337607881074
ISR,22,1996,5.967147156579826,3.5752265138223236,12.229566509974621
ISR,23,1997,6.002206192034009,3.3992298760996373,12.064444360934043
ISR,24,1998,6.048898877154746,3.3903493547185506,12.29118257136273
ISR,25,1999,6.061956177485024,3.3590819001164824,11.847912767345848
ISR,26,2000,6.08202801198205,3.390144907713603,11.974280089205031
ISR,27,2001,6.087400692838704,3.419293434240815,11.707109096064556
ISR,28,2002,6.123230367804144,3.39919633463937,12.22158089839921
ISR,29,2003,6.133620036674437,3.5792938512072525,12.238924784136206
ISR,30,2004,6.125374225694938,3.521550205895847,12.085969193070472
ISR,31,2005,6.127100735533745,3.387945954547015,12.240594688477733
ISR,32,2006,6.133459055813668,3.4656303423044013,12.460062829387617
ISR,33,2007,6.135419817869375,3.4945767588203345,12.357852854310424
ISR,34,2008,6.140627101178175,3.5207086201731927,12.28939128042543
ISR,35,2009,6.138127175137014,3.438164580972811,12.244136601443513
ISR,36,2010,6.140717264321678,3.496210623935297,12.378684298802863
ISR,37,2011,6.122506921706301,3.541841674127535,12.176352974885415
ISR,38,2012,6.119509462653176,3.562486188315716,12.3648528060467
ISR,39,2013,6.139903821320043,3.5084779174235003,12.084884524496058
ISR,40,2014,6.135076491883716,3.49857173108149,11.779670055382082
